Shortcut,Expansion
puj,PUJ
pul,pulmonary
puting,putting
pv,PV
pvp,peritesticular venous plexus
pvr,positive venous reflux on color Doppler during valsalva�s maneuver
pvru,post-voiding residual urine
pvu,post-voiding residual urine
pwm,perisupraventricular white matters
pwoer,power
pya,Prof. Yahya A. Alezzy
pyg,Prof. Yahia Ghanim
quater,quarter
quaters,quarters
quesion,question
quesions,questions
questioms,questions
questiosn,questions
questoin,question
quetion,question
quetions,questions
rb,right breast
rc,reflecting cystitis
rd,retinal detachment
rdd,relatively diminished density of peri-supraventricular white matter with faint hypodense areas within it more on left and normal appearing basal ganglial and thalamic regions.
realyl,really
reccomend,recommend
reccommend,recommend
receieve,receive
recieve,receive
recieved,received
recieving,receiving
recomend,recommend
recomendation,recommendation
recomendations,recommendations
recomended,recommended
reconize,recognize
recrod,record
rel,relatively
religous,religious
reluctent,reluctant
rem,remarkable
remeber,remember
reommend,recommend
rep,representing
representativs,representatives
representives,representatives
represetned,represented
represnt,represent
reserach,research
resollution,resolution
resorces,resources
respomd,respond
respomse,response
responce,response
responsability,responsibility
responsable,responsible
responsibile,responsible
responsiblity,responsibility
restaraunt,restaurant
restuarant,restaurant
reult,result
reveiw,review
reveiwing,reviewing
rhl,right hepatic lobe
rif,right iliac fossa
rk,right kidney
rl,(Rt.  & Lt. )
rml,Dr. Redha M. Lagam
ro,right ovary
roc,right ovarian cyst
rs,right sided
rtl,"(Rt. mm, Lt. mm)"
rumers,rumors
rw,rightward
rwite,write
rythm,rhythm
s1,S1
sa,similar appearing
saidhe,said he
saidit,said it
saidt he,said the
saidthat,said that
saidthe,said the
sal,subcortical atherosclerotic leukoencephalopathy
sas,subcortical arteriosclerotic leukoencephalopathy
sbo,spina bifida occulta
sca,(subcortical arterio-sclerotic leukoencephalopathy)
scc,simple cortical cyst
scedule,schedule
sceduled,scheduled
scf,Some small central fat-containing
schn,schmorl's nodes
scl,sclerotic
scn,spinal canal narrowing.
scp,septum cavum pellucidum and vergae (variation).
scs,spinal canal stenosis.
sd,"Dr. Suad Alariqi, MD,"
sdd,secondary discogenic degenerative
sdl,Slightly dilated lateral ventricles with normal diameter of rest of extra-intra cerebral fluid spaces
seance,s�ance
secratary,secretary
sectino,section
seh,she
selectoin,selection
sentance,sentence
separeate,separate
seperate,separate
sercumstances,circumstances
sfs,subarachnoid fluid spaces
sha,Symmetrical hypertrophy of adenoid tonsils with no localized lesion (likely lymphoid hyperplasia).*
shcool,school
she;ll,she�ll
shesaid,she said
shh,sliding hiatus hernia
shineing,shining
shiped,shipped
shoudl,should
shoudln't,shouldn�t
should of been,should have been
should of had,should have had
shouldent,shouldn�t
shouldn;t,shouldn�t
shouldnt,shouldn�t
showinf,showing
sht,Symmetrical hypertrophy of adenoid tonsils with no localized mass lesion.
sic,Evidence of multiple small ischemic changes within perisupraventricular deep white matter more ventrally as well as both posterior limb of both internal capsule and both insular cortex with normal appearing basal ganglial and thalamic regions.
sig,significant
signifacnt,significant
simalar,similar
similiar,similar
simpyl,simply
sincerly,sincerely
sit,situs inversus totalis
sitll,still
sj,sacroiliac joints
sla,small lucent areas with sclerotic edges in the opposing surfaces of L3/L4
sma,superior mesenteric artery
smae,same
smoe,some
sn,Schmorl's nodes
snt,septal nasal turbinate
soem,some
sohw,show
soical,social
sol,space occupying lesion or hemorrhage.
somethign,something
someting,something
somewaht,somewhat
somthing,something
somtimes,sometimes
sot hat,so that
soudn,sound
soudns,sounds
spd,spondylodegenerative
speach,speech
specificaly,specifically
specificalyl,specifically
sphe,sphenoidal
spl,splenomegaly
sply,spondylolisthesis
spo,Spondylodegenerative change presented by multilevel disc dehydration anterior osteophytes .
spsp,spondylolysis spondylolisthesis
sr,S.R.
ssb,with some small (3-4mm) bilateral calyceal-end stones and no back-pressure in both kidneys.
ssc,Straightened spastic cervical spine.
ssl,Straightened spastic lumbar spine
ssn,Small schmorl's nodes at opposing surface of the
sss,subcutaneous soft-tissue swelling
st,soft-tissue
statment,statement
statments,statements
stnad,stand
stopry,story
stoyr,story
stpo,stop
str,structure
strentgh,strength
stroy,story
struggel,struggle
strugle,struggle
studnet,student
successfull,successful
successfuly,successfully
successfulyl,successfully
sucess,success
sucessfull,successful
sufficiant,sufficient
suo,Small age-related uterus and both ovaries.
suposed,supposed
suppossed,supposed
suprise,surprise
suprised,surprised
sv,SV
swiming,swimming
tahbso,TAH & BSO
tahn,than
taht,that
talekd,talked
talkign,talking
tath,that
tb,TB
tc,tympanic cavity
tecnical,technical
teh,the
tehy,they
tellt he,tell the
termoil,turmoil
tghe,the
tghis,this
thansk,thanks
thats,that�s
thatt he,that the
thatthe,that the
thd,thickened
thecompany,the company
thefirst,the first
thegovernment,the government
their are,there are
their is,there is
themself,themselves
themselfs,themselves
thenew,the new
there's is,theirs is
theri,their
thesame,the same
thetwo,the two
they're are,there are
they're is,there is
they;l,they�ll
they;ll,they�ll
they;r,they�re
they;re,they�re
they;v,they�ve
they;ve,they�ve
theyll,they�ll
theyve,they�ve
thgat,that
thge,the
thi,thickening
thier,their
thigsn,things
thisyear,this year
thna,than
thne,then
thnig,thing
thnigs,things
threatend,threatened
thsi,this
thsoe,those
thta,that
tihs,this
timne,time
tiogether,together
tirad,TIRAD
tirads,TIRADs
tje,the
tjhe,the
tkae,take
tkaes,takes
tkaing,taking
tla,the largest about
tlaking,talking
tle,to a lesser extent
tm,tumor mass
todya,today
togehter,together
toldt he,told the
tomorow,tomorrow
tongiht,tonight
tonihgt,tonight
tonsilar,tonsillar
tot he,to the
totaly,totally
totalyl,totally
tothe,to the
towrad,toward
traditionalyl,traditionally
transfered,transferred
truely,truly
truley,truly
tryed,tried
tthe,the
twt,tumorous wall thickening
tyhat,that
tyhe,the
ub,UB
udnerstand,understand
ufb,uterine fundus body
understnad,understand
undert he,under the
unitedstates,United States
unliek,unlike
unpleasently,unpleasantly
untilll,until
us,US
useing,using
usualyl,usually
var,(variation)
vep,vertebral endplates
veyr,very
vi,VIDE INFRA.
virtualyl,virtually
vis-a-vis,vis-�-vis
vm,valsalva�s maneuver
vo,vertebral osteoporosis
vrey,very
vs,ventricular system
vsi,variable sized
vts,ventral thecal sac
vuj,VUJ
vulnerible,vulnerable
vz,variable sized
wa snot,was not
waht,what
warrent,warrant
wasnt,wasn�t
watn,want
wcs,with coarse structure and no focal lesion
wd,well-defined
we;d,we�d
we;ll,we�ll
we;re,we�re
we;ve,we�ve
wehn,when
wern't,weren�t
werre,were
what;s,what�s
whcih,which
whent he,when the
where;s,where�s
wherre,where
whic,which
whicht he,which the
whihc,which
who;s,who�s
who;ve,who�ve
whta,what
wi,with
wic,& WITH IV CONTRAST
wief,wife
wierd,weird
wihch,which
wiht,with
will of been,will have been
will of had,will have had
willbe,will be
windoes,windows
wis,WIs
witha,with a
withe,with
witht he,with the
withthe,with the
wiull,will
wm,white matter
wn,with no localized lesion
wnat,want
wnated,wanted
wnats,wants
wo'nt,won�t
woh,who
wohle,whole
wokr,work
won;t,won�t
woudl,would
woudln't,wouldn�t
would of been,would have been
would of had,would have had
wouldbe,would be
wouldn;t,wouldn�t
wouldnt,wouldn�t
wriet,write
writting,writing
wrod,word
wroet,wrote
wroking,working
wtih,with
wuould,would
wya,way
yera,year
yeras,years
yersa,years
yoiu,you
you're own,your own
you;d,you�d
you;re,you�re
youare,you are
your a,you�re a
your an,you�re an
your her,you�re her
your here,you�re here
your his,you�re his
your my,you�re my
your the,you�re the
your their,you�re their
your your,you�re your
youve,you�ve
ytou,you
yuo,you
yuor,your
